Názov školy;Obec;Ulica;PSČ
Praktická škola ako organizačná zložka Spojenej školy;Vranov nad Topľou;Budovateľská 1309;9301
Evanjelická praktická škola internátna ako organizačná zložka Evanjelickej spojenej školy internátnej;Červenica;Červenica 114;8207
Praktická škola ako organizačná zložka Spojenej školy;Sabinov;SNP 15;8301
Praktická škola ako organizačná zložka Spojenej školy internátnej;Medzilaborce;Duchnovičova 479;6801
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Svidník;Partizánska 52;8901
Praktická škola ako organizačná zložka Spojenej školy internátnej;Snina;Palárikova 1602/1;6901
Odborné učilište pre žiakov s telesným postihnutím internátne ako organizačná zložka Spojenej školy internátnej;Humenné;Komenského 3;6601
Odborné učilište ako organizačná zložka Spojenej školy;Veľká Lomnica;Železničná 115;5952
Odborné učilište pre žiakov so zrakovým postihnutím internátne ako organizačná zložka Spojenej školy internátnej;Levoča;Nám. Štefana Kluberta 1;5401
Odborné učilište internátne;Poprad;Šrobárova 20;5801
Odborné učilište internátne;Prešov;Masarykova 11174/20D;8001
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Snina;Palárikova 1602/1;6901
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Stará Ľubovňa;Levočská 24;6401
Súkromné odborné učilište;Stropkov;Hlavná 6;9101
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Svidník;Partizánska 52;8901
Súkromné odborné učilište ako organizačná zložka Súkromnej spojenej školy;Kežmarok;Biela voda 2;6001
Odborné učilište ako organizačná zložka Spojenej školy;Chminianske Jakubovany;Chminianske Jakubovany 21;8233
Súkromné odborné učilište ELBA;Svinia;Záhradnícka 83/19;8232
Odborné učilište sv. Klementa Hofbauera;Podolínec;Kláštorná 2;6503
Odborné učilište ako organizačná zložka Spojenej školy;Lipany;Tehelná 23;8271
Odborné učilište ako organizačná zložka Spojenej školy;Bardejov;Pod papierňou 2671;8501
Odborné učilište Jána Vojtaššáka internátne ako organizačná zložka Spojenej školy;Levoča;Kláštorská 24/a;5401
Odborné učilište ako organizačná zložka Spojenej školy internátnej;Vranov nad Topľou;M. R. Štefánika 140;9341
Stredná odborná škola technická;Humenné;Družstevná 1737;6601
Stredná odborná škola technická;Poprad;Kukučínova 483/12;5801
Stredná odborná škola technická ako organizačná zložka Spojenej školy;Prešov;Ľ. Podjavorinskej 22;8005
Stredná odborná škola technická;Prešov;Volgogradská 1;8001
Stredná odborná škola technická;Stará Ľubovňa;Levočská 40;6401
Stredná odborná škola technická;Svidník;Pionierska 361/4;8901
Stredná odborná škola polytechnická ako organizačná zložka Spojenej školy Juraja Henischa;Bardejov;Slovenská 5;8501
Stredná odborná škola polytechnická;Humenné;Štefánikova 1550/20;6601
Stredná odborná škola elektrotechnická;Poprad - Matejovce;Hlavná 1400/1;5951
Stredná priemyselná škola elektrotechnická;Prešov;Plzenská 1;8047
Stredná odborná škola elektrotechnická;Stropkov;Hviezdoslavova 44;9112
Stredná odborná škola dopravná;Prešov;Konštantínova 2;8001
Gymnázium;Gelnica;SNP 1;5601
Súkromné športové gymnázium;Košice;Užhorodská 39;4011
Gymnázium Milana Rastislava Štefánika;Košice;Nám. L. Novomeského 4;4224
GYMNÁZIUM a Základná škola s vyučovacím jazykom maďarským - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola;Košice;Kuzmányho 6;4174
Gymnázium;Košice;Poštová 9;4252
Gymnázium sv. Tomáša Akvinského;Košice;Zbrojničná 3;4001
Gymnázium;Košice;Šrobárova 1;4223
Súkromné gymnázium;Košice;Katkin park 2;4011
Športové gymnázium;Košice;Trieda SNP 104;4011
Gymnázium;Košice;Trebišovská 12;4011
Gymnázium;Košice;Park mládeže 5;4001
Gymnázium sv. Košických mučeníkov ako organizačná zložka Spojenej školy sv. Košických mučeníkov;Košice;Čordákova 50;4023
Gymnázium sv. Edity Steinovej;Košice;Charkovská 1;4022
Gymnázium;Košice;Alejová 1;4149
Súkromné gymnázium;Košice;Dneperská 1;4012
Evanjelické gymnázium Jána Ámosa Komenského;Košice;Škultétyho 10;4001
Gymnázium;Košice;Opatovská cesta 7;4001
Súkromné gymnázium ako organizačná zložka Súkromnej spojenej školy;Košice;Starozagorská 8;4023
Gymnázium Štefana Moysesa;Moldava nad Bodvou;Školská 13;4517
Gymnázium Pavla Horova;Michalovce;Masarykova 1;7179
Gymnázium;Michalovce;Ľ. Štúra 26;7101
Gymnázium - Gimnázium;Veľké Kapušany;Zoltána Fábryho 1;7901
Gymnázium ako organizačná zložka Spojenej školy;Dobšiná;SNP 607;4925
Gymnázium Pavla Jozefa Šafárika - Pavol Jozef Šafárik Gimnázium;Rožňava;Akademika Hronca 1;4801
Gymnázium;Sobrance;Kpt. Nálepku 6;7301
Gymnázium;Krompachy;Lorencova 46;5342
Gymnázium;Spišská Nová Ves;Javorová 16;5201
Gymnázium;Spišská Nová Ves;Školská 7;5201
Cirkevné gymnázium Štefana Mišíka;Spišská Nová Ves;Radničné námestie 271/8;5201
Gymnázium - Gimnázium;Kráľovský Chlmec;Horešská 18;7701
Gymnázium ako organizačná zložka Spojnej školy;Sečovce;Kollárova 17;7801
Gymnázium;Trebišov;Komenského 32;7501
Cirkevné gymnázium sv. Jána Krstiteľa;Trebišov;M. R. Štefánika 9;7501
Súkromné gymnázium FUTURUM;Košice;Grešáková  1;4001
Premonštrátske gymnázium;Košice;Kováčska 28;4001
Gymnázium bl. Sáry Salkaházi s vyučovacím jazykom maďarským - Boldog Salkaházi Sára Magyar Tannyelvű Egyházi Gimnázium;Moldava nad Bodvou;Československej armády 15;4501
Stredná zdravotnícka škola sv. Alžbety;Košice;Mäsiarska 25;4001
Stredná zdravotnícka škola;Košice;Moyzesova 17;4176
Stredná zdravotnícka škola;Košice;Kukučínova 40;4137
Stredná zdravotnícka škola;Michalovce;Masarykova 27;7101
Stredná zdravotnícka škola - Egészségügyi Középiskola;Rožňava;Námestie 1. mája č. 1;4801
Konzervatórium;Košice;Timonova 2;4203
Súkromné konzervatórium;Košice;Zádielska 12;4001
Súkromné hudobné a dramatické konzervatórium;Košice;Požiarnická 1;4001
Konzervatórium Jozefa Adamoviča;Košice;Exnárova 8;4023
Škola úžitkového výtvarníctva;Košice;Jakobyho 15;4001
Súkromná stredná umelecká škola filmová;Košice;Petzvalova 2;4011
Stredná odborná škola;Prakovce;Prakovce 282;5562
Stredná odborná škola Jozefa Szakkayho - Szakkay József Szakközépiskola;Košice;Grešákova 1;4001
Stredná odborná škola Jána Bocatia;Košice;Bocatiova 1;4001
Stredná odborná škola;Košice;Učňovská 5;4015
Súkromná stredná odborná škola;Košice;Postupimská 37;4022
Súkromná stredná odborná škola;Košice;Bukovecká 17;4012
Stredná odborná škola;Košice;Gemerská 1;4011
Súkromná stredná odborná škola PAMIKO;Košice;Kukučínova 23;4001
Stredná odborná škola pre žiakov s telesným postihnutím ako organizačná zložka Spojenej školy;Košice;Opatovská cesta 97;4057
Stredná odborná škola;Košice;Ostrovského 1;4001
Stredná odborná škola - Szakközépiskola;Moldava nad Bodvou;Hlavná 54;4501
Stredná odborná škola sv. Cyrila a Metoda;Michalovce;Tehliarska 2;7101
Stredná odborná škola - Szakközépiskola;Veľké Kapušany;Janka Kráľa 25;7901
Stredná odborná škola;Strážske;Mierová 727;7222
Stredná odborná škola  ako organizačná zložka Spojenej školy;Dobšiná;Zimná 96;4925
Stredná odborná škola technická;Rožňava;Hviezdoslavova 5;4801
Stredná odborná škola s vyučovacím jazykom maďarským - Szakközépiskola,  ako organizačná zložka Spojenej školy;Rožňava;J. A .Komenského 5;4801
Súkromná stredná odborná škola SEZ  ako organizačná zložka Súkromnej spojenej školy SEZ;Krompachy;Maurerova 55;5342
Stredná odborná škola;Spišská Nová Ves;Markušovská cesta 4;5201
Stredná odborná škola technická ako organizačná zložka Spojenej školy Bijacovce 1;Rudňany;Rudňany 65;5323
Stredná odborná škola služieb ako organizačná zložka Spojenej školy Bijacovce 1;Bystrany;Bystrany 46;5362
Súkromná stredná odborná škola DSA;Trebišov;Komenského 12;7501
Cirkevná stredná odborná škola sv. Jozafáta;Trebišov;Komenského 1963/10;7501
Stredná odborná škola - Szakközépiskola;Kráľovský Chlmec;Rákocziho 23;7701
Stredná odborná škola ako organizačná zložka Spojenej školy;Sečovce;Kollárova 17;7801
Stredná odborná škola - Szakközépiskola;Pribeník;J. Majlátha 2;7651
Súkromná stredná odborná škola;Malčice;Malčice 347;7206
Súkromná stredná odborná škola Nová cesta Magán Szakközépiskola Új út;Malčice;Hlavná 265;7206
Súkromná stredná odborná škola -  Magán Szakkozépiskola;Veľké Kapušany;Ulica Zoltána Fábryho 19;7901
Stredná priemyselná škola strojnícka;Košice;Komenského 2;4001
Technická akadémia;Spišská Nová Ves;Hviezdoslavova 6;5201
Stredná odborná škola drevárska;Spišská Nová Ves;Filinského 7;5201
Stredná priemyselná škola stavebná a geodetická;Košice;Lermontovova 1;4001
Stredná odborná škola poľnohospodárstva a služieb na vidieku;Košice;Kukučínova 23;4012
Stredná odborná škola veterinárna;Košice;Nám.mladých poľnoho. 2;4017
Hotelová akadémia;Košice;Južná trieda 10;4001
Súkromná hotelová akadémia - Dufincova;Michalovce;Komenského 1;7101
Hotelová akadémia;Spišská Nová Ves;Radničné námestie 1;5201
Obchodná akadémia;Košice;Watsonova 61;4001
Obchodná akadémia pre žiakov s telesným postihnutím ako organizačná zložka Spojenej školy;Košice;Opatovská cesta 97;4057
Obchodná akadémia;Košice;Polárna 1;4012
Obchodná akadémia;Michalovce;Kapušianska 2;7101
Obchodná akadémia;Rožňava;Akademika Hronca 8;4801
Obchodná akadémia;Trebišov;Komenského 3425/18;7542
Súkromná stredná odborná škola ekonomickáTercium;Košice;Palackého 14;4001
Stredná odborná škola ekonomická;Spišská Nová Ves;Stojan 1;5201
Stredná odborná škola obchodu a služieb;Michalovce;Školská 4;7101
Stredná odborná škola obchodu a služieb;Rožňava;Rožňavská Baňa 211;4801
Stredná odborná škola obchodu a služieb;Sobrance;Námestie slobody 12;7301
Katolícka stredná pedagogická škola sv. Cyrila a Metoda;Košice;Južná trieda 48;4001
Súkromná pedagogická a sociálna akadémia;Košice;Požiarnická 1;4001
Praktická škola ako organizačná zložka Spojenej školy;Košice;Opatovská cesta 101;4057
Súkromná praktická škola;Košice;Myslavská 401;4016
Praktická škola ako organizačná zložka Spojenej školy;Moldava nad Bodvou;Hlavná 53;4501
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Ždaňa;Abovská 244/18;4411
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Michalovce;Školská 12;7101
Praktická škola ako organizačná zložka Spojenej školy;Spišská Nová Ves;Hviezdoslavova 25;5201
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Spišské Vlachy;Partizánska 13;5361
Praktická škola sv. Maximiliána Mária Kolbeho ako organizačná zložka Spojenej školy sv.M.M.Kolbeho;Spišská Nová Ves;Gaštanova ul. č. 11;5201
Praktická škola ako organizačná zložka Spojenej školy;Pavlovce nad Uhom;Kapušianska 2;7214
Praktická škola ako organizačná zložka Spojenej školy;Veľké Kapušany;J. Dózsu 32;7901
Praktická škola ako organizačná zložka Spojenej školy;Košice;Vojenská 13;4001
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Prakovce;Breziny 256;5562
Praktická škola ako organizačná zložka Spojenej školy;Košice;Alejová 6;4011
Praktická škola internátna ako organizačná zložka Spojenej školy internátnej;Trebišov;Poľná 1;7501
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Prakovce;Breziny 256;5562
Odborné učilište ako organizačná zložka Spojenej školy;Košice;Alejová 6;4011
Odborné učilište internátne Viliama Gaňa ako organizačná zložka  Spojenej školy internátnej;Michalovce;Školská 12;7101
Odborné učilište ako organizačná zložka Spojenej školy;Dobšiná;Nová 803;4925
Odborné učilište ako organizačná zložka Spojenej školy internátnej;Rožňava;Zeleného stromu 8;4801
Odborné učilište ako organizačná zložka Spojenej školy;Rudňany;Zimné 465;5323
Odborné učilište ako organizačná zložka Spojenej školy;Spišská Nová Ves;Hviezdoslavova 25;5270
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Trebišov;Poľná 1;7501
Odborné učilište ako organizačná zložka Spojenej školy;Veľké Kapušany;J. Dózsu 32;7901
Súkromné odborné učilište SEZ Krompachy - organizačná zložka Súkromnej spojenej školy SEZ Krompachy;Krompachy;Maurerova 55;5342
Stredná odborná škola technická;Košice;Kukučínova 23;4001
Stredná odborná škola technická;Michalovce;Partizánska 1;7192
Stredná priemyselná škola elektrotechnická;Košice;Komenského 44;4001
Stredná priemyselná škola dopravná;Košice;Hlavná 113;4001
Stredná odborná škola železničná;Košice;Palackého 14;4001
Stredná odborná škola automobilová;Košice;Moldavská cesta 2;4199
