Názov školy;Obec;Ulica;PSČ
Súkromné gymnázium s vyučovacím jazykom maďarským - Magyar Tanítási Nyelvu Magángimnázium;Dunajská Streda;Hlavná 21;92901
Súkromné bilingválne gymnázium BESST;Trnava;Limbová 6051/3;91702
Stredná zdravotnícka škola - Egészségugyi Középiskola;Dunajská Streda;Športová 349/34;92901
Stredná zdravotnícka škola;Skalica;Lichardova 1;90901
Stredná zdravotnícka škola;Trnava;Daxnerova 6;91792
Súkromné tanečné konzervatórium Dušana Nebylu;Trnava;Hollého 8;91701
Stredná odborná škola Jozefa Čabelku;Holíč;Bernolákova 383/10;90851
Súkromná stredná odborná škola VIA HUMANA;Skalica;Mallého 2;90901
Súkromná stredná odborná škola - Magán Szakközépiskola;Sládkovičovo;Fučíkova 426;92521
Stredná odborná škola s vyučovacím jazykom maďarským - Szakközépiskola;Dunajská Streda;Gyulu Szabóa 21;92901
Stredná odborná škola;Rakovice;Rakovice 25;92208
Súkromná stredná odborná škola SD Jednota;Šamorín;Vinohradská 48;93101
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvü Magán Szakközépiskola;Dunajská Streda;Neratovické nám. 1916/16;92901
Súkromná stredná odborná škola - Magán Szakközépiskola;Zlaté Klasy;Trhovisko 776/1;93039
Súkromná stredná odborná škola obchodu a služieb, s vyučovacím jazykom maďarským - Magán Kereskedelmi és Szolgáltatóipar;Mostová;Mostová 53;92507
Stredná odborná škola;Senica;V. P. Tótha 31;90501
Súkromná stredná odborná škola Gos-Sk;Trnava;Ferka Urbánka 19;91810
Stredná odborná škola;Holíč;Nám. sv. Martina 5;90851
Stredná odborná škola;Hlohovec;Nerudova 13;92001
Stredná odborná škola strojnícka;Skalica;Pplk. Pľjušťa 29;90901
Stredná priemyselná škola stavebná Dušana Samuela Jurkoviča;Trnava;Lomonosovova 7;91708
Stredná odborná škola stavebná s vyučovacím jazykom maďarským - Építészeti Szakközépiskola;Dunajská Streda;Gyulu Szabóa 1;92901
Stredná priemyselná škola;Trnava;Komenského 1;91731
Stredná odborná škola rozvoja vidieka s vyučovacím jazykom maďarským - Vidékfejlesztési Szakközépiskola;Dunajská Streda;Nám. sv. Štefana 1533/3;92938
Stredná odborná škola poľnohospodárstva a služieb na vidieku;Trnava;Zavarská 9;91728
Stredná odborná škola záhradnícka;Piešťany;Brezová 2;92177
Hotelová akadémia Ľudovíta Wintera;Piešťany;Stromová 34;92101
Súkromná hotelová akadémia SD Jednota;Šamorín;Vinohradská 48;93101
Obchodná akadémia - Kereskedelmi Akadémia;Veľký Meder;Bratislavská 38;93201
Obchodná akadémia;Sereď;Mládežnícka 158/5;92601
Obchodná akadémia;Hlohovec;Tehelná 4;92001
Obchodná akadémia;Senica;Dlhá 256/10;90580
Obchodná akadémia;Trnava;Kukučínova 2;91729
Súkromná stredná odborná škola podnikania;Senica;Hollého 1380;90501
Stredná odborná škola obchodu a služieb;Galanta;Z. Kodálya 765;92447
Stredná odborná škola obchodu a služieb;Piešťany;Mojmírova 99/28;92101
Stredná odborná škola obchodu a služieb;Trnava;Lomonosovova 2797/6;91854
Pedagogická a sociálna akadémia blahoslavenej Laury;Trnava;Jána Hollého 9;91701
Praktická škola ako organizačná zložka Spojenej školy;Piešťany;Valova 40;92101
Praktická škola internátna ako organizačná zložka Spojenej školy;Senica;Brezová 1;90501
Praktická škola ako organizačná zložka Spojenej školy;Trnava;Haulíkova 1;91708
Praktická škola - Készségfejlesztő Iskola ako organizačná zložka Spojenej školy;Sládkovičovo;Školská 212;92521
Praktická škola ako organizačná zložka Spojenej školy;Trnava;Čajkovského 50;91708
Praktická škola s vyučovacím jazykom maďarským - Készégfejlesztö Iskola ako organizačná zložka Spojenej školy;Dunajská Streda;Gyulu Szabóa 1;92901
Praktická škola ako organizačná zložka Spojenej školy;Vrbové;Nám.sv.Cyrila a Metoda 9;92203
Praktická škola ako organizačná zložka Spojenej školy;Hlohovec;Palárikova 1/A;92001
Odborné učilište internátne ako organizačná zložka Spojenej školy;Hlohovec;Palárikova 1/A;92001
Odborné učilište internátne ako organizačná zložka Spojenej školy;Trnava;Lomonosovova 8;91708
Odborné učilište internátne - Bennlakásos szaktanintézet ako organizačná zložka Spojenej školy;Okoč;Gorkého 4/90;93028
Odborné učilište pri reedukačnom centre pre mládež;Trstín;Trstín 335;91905
Stredná odborná škola technická - Múszaki Szakközépiskola;Dunajská Streda;Kračanská cesta 1240/36;92901
Stredná odborná škola technická;Hlohovec;F. Lipku 2422/5;92001
Stredná odborná škola technická;Piešťany;Nová 5245/9;92101
Stredná odborná škola technická - Múszaki Szakközépiskola;Galanta;Esterházyovcov 712/10;92434
Súkromná stredná odborná škola DSA;Trnava;Koniarekova 17;91850
Stredná priemyselná škola elektrotechnická;Piešťany;Brezová 2;92177
Stredná odborná škola elektrotechnická;Gbely;Učňovská 700/6;90845
Stredná odborná škola elektrotechnická;Trnava;Sibírska 1;91701
Stredná priemyselná škola dopravná;Trnava;Študentská 23;91745
Stredná odborná škola automobilová;Trnava;Coburgova 7859/39;91702
Gymnázium Janka Jesenského;Bánovce nad Bebravou;Radlinského 665/2;95701
Gymnázium;Dubnica nad Váhom;Školská 2;1841
Gymnázium ako organizačná zložka Spojenej školy sv. Jána Bosca;Nová Dubnica;Trenčianska 66/28;1851
Gymnázium;Myjava;Jablonská 301/5;90701
Gymnázium M. R. Štefánika;Nové Mesto nad Váhom;Športová 41;91501
Gymnázium ako organizačná zložka Spojenej školy sv. Jozefa;Nové Mesto nad Váhom;Klčové 87;91501
Bilingválne slovensko - španielske gymnázium;Nové Mesto nad Váhom;Štúrova 2590/31A;91501
Gymnázium;Partizánske;Komenského 2/1074;95801
Gymnázium;Považská Bystrica;Školská 234/8;1701
Súkromné gymnázium;Považská Bystrica;M. R. Štefánika 148/27;1701
Gymnázium Ivana Bellu;Handlová;Lipová 15;97251
Gymnázium Vavrinca Benedikta Nedožerského;Prievidza;Matice slovenskej 16;97101
Piaristická spojená škola Františka Hanáka - Piaristické gymnázium Františka Hanáka;Prievidza;A. Hlinku 44;97101
Gymnázium;Púchov;Ul. 1. mája 905;2015
Gymnázium Ľudovíta Štúra;Trenčín;1. mája 170/2;91135
